beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url
Blue Fin Stout,Shipyard Brewing Company,Stout - Irish Dry,4.7,43,,,,,,,,3.25,12/13/2018 22:35,https://untappd.com/c/687150100,https://untappd.com/beer/14854,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150100,14854,2392,
Prelude Special Ale,Shipyard Brewing Company,Winter Warmer,6.7,0,,,,,,,,1.75,12/13/2018 22:35,https://untappd.com/c/687150132,https://untappd.com/beer/7357,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150132,7357,2392,
Chocolate Milk Stout,Shipyard Brewing Company,Stout - Milk / Sweet,5.4,0,,,,,,,,2.75,12/13/2018 22:35,https://untappd.com/c/687150211,https://untappd.com/beer/1260616,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150211,1260616,2392,
Red IPA,Shipyard Brewing Company,IPA - Red,5.9,50,,,,,,,,2.25,12/13/2018 22:35,https://untappd.com/c/687150296,https://untappd.com/beer/1342200,https://untappd.com/brewery/2392,United States,Portland,ME,,,,687150296,1342200,2392,
Blue Paw Wild Blueberry,Sea Dog Brewing Company,Wheat Beer - Other,4.6,0,,,,,,,,2.25,12/13/2018 22:43,https://untappd.com/c/687152736,https://untappd.com/beer/346754,https://untappd.com/brewery/1125,United States,Portland,ME,,,,687152736,346754,1125,
Hazelnut Porter,Sea Dog Brewing Company,Porter - American,5.6,0,,,,,,,,2.5,12/13/2018 22:43,https://untappd.com/c/687152789,https://untappd.com/beer/32295,https://untappd.com/brewery/1125,United States,Portland,ME,,,,687152789,32295,1125,
Raspberry Wheat Ale,Sea Dog Brewing Company,Fruit Beer,4.5,0,,,,,,,,1,12/13/2018 22:44,https://untappd.com/c/687152849,https://untappd.com/beer/5452,https://untappd.com/brewery/1125,United States,Portland,ME,,,,687152849,5452,1125,
Sea Dog IPA,Sea Dog Brewing Company,IPA - English,6.2,60,,,,,,,,0.75,12/13/2018 22:44,https://untappd.com/c/687152902,https://untappd.com/beer/14839,https://untappd.com/brewery/1125,United States,Portland,ME,,,,687152902,14839,1125,
Apricot Wheat Beer,Sea Dog Brewing Company,Fruit Beer,4.7,0,,,,,,,,0.5,12/13/2018 22:44,https://untappd.com/c/687152998,https://untappd.com/beer/22665,https://untappd.com/brewery/1125,United States,Portland,ME,,,,687152998,22665,1125,
Stay Puft,Barreled Souls Brewing Company,Stout - Imperial / Double,10.3,0,,,,,,,,4.25,12/13/2018 22:46,https://untappd.com/c/687153622,https://untappd.com/beer/1122888,https://untappd.com/brewery/144552,United States,Saco,ME,,,,687153622,1122888,144552,
Dark Matter,Barreled Souls Brewing Company,Dark Ale,10.1,0,,,,,,,,3.5,12/13/2018 22:47,https://untappd.com/c/687153641,https://untappd.com/beer/750948,https://untappd.com/brewery/144552,United States,Saco,ME,,,,687153641,750948,144552,
Gnome’s Soul,Barreled Souls Brewing Company,Stout - Imperial / Double,10.8,0,,,,,,,,3,12/13/2018 22:47,https://untappd.com/c/687153678,https://untappd.com/beer/2864712,https://untappd.com/brewery/144552,United States,Saco,ME,,,,687153678,2864712,144552,
Deep Space,Barreled Souls Brewing Company,Stout - American Imperial / Double,12.8,0,,,,,,,,3.5,12/13/2018 22:47,https://untappd.com/c/687153734,https://untappd.com/beer/1321027,https://untappd.com/brewery/144552,United States,Saco,ME,,,,687153734,1321027,144552,
Gunner's Daughter,Mast Landing Brewing Co.,Stout - Milk / Sweet,5.5,0,,,,,,,,3,12/13/2018 22:47,https://untappd.com/c/687153925,https://untappd.com/beer/1521437,https://untappd.com/brewery/255968,United States,Westbrook,ME,,,,687153925,1521437,255968,
Peeper,Maine Beer Company,Pale Ale - American,5.5,0,,,,,,,,2,12/13/2018 22:51,https://untappd.com/c/687154877,https://untappd.com/beer/13088,https://untappd.com/brewery/2874,United States,Freeport,ME,,,,687154877,13088,2874,
MO,Maine Beer Company,Pale Ale - American,6,0,,,,,,,,2.75,12/13/2018 22:51,https://untappd.com/c/687154908,https://untappd.com/beer/128341,https://untappd.com/brewery/2874,United States,Freeport,ME,,,,687154908,128341,2874,
Lunch,Maine Beer Company,IPA - American,7,65,,,,,,,,2,12/13/2018 22:51,https://untappd.com/c/687154936,https://untappd.com/beer/49892,https://untappd.com/brewery/2874,United States,Freeport,ME,,,,687154936,49892,2874,
Dinner,Maine Beer Company,IPA - Imperial / Double,8.2,0,,,,,,,,1.75,12/13/2018 22:51,https://untappd.com/c/687154964,https://untappd.com/beer/519536,https://untappd.com/brewery/2874,United States,Freeport,ME,,,,687154964,519536,2874,
A Fistful of Unidragon,Clown Shoes,Stout - Russian Imperial,14,55,,,,,,,,3.75,12/13/2018 22:52,https://untappd.com/c/687155333,https://untappd.com/beer/1052160,https://untappd.com/brewery/7583,United States,Boston,MA,,,,687155333,1052160,7583,
